# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"85302",2.0,1,437,33.5673,-112.1777,0,"Glendale","AZ"
"86327",2.2,1,428,34.4998,-112.2031,0,"Dewey","AZ"
"89108",3.5,1,268,36.2056,-115.2236,0,"Las Vegas","NV"
"90024",2.2,1,151,34.0653,-118.4350,0,"Los Angeles","CA"
"90036",5.2,1,143,34.0704,-118.3501,0,"Los Angeles","CA"
"90045",4.7,2,150,33.9531,-118.4012,0,"Los Angeles","CA"
"90046",3.4,1,144,34.1072,-118.3648,0,"Los Angeles","CA"
"90048",5.1,2,145,34.0731,-118.3728,0,"Los Angeles","CA"
"90049",3.1,1,156,34.0869,-118.4882,0,"Los Angeles","CA"
"90266",3.6,1,151,33.8894,-118.3973,0,"Manhattan Beach","CA"
"90275",2.2,1,152,33.7553,-118.3631,0,"Rancho Palos Verdes","CA"
"90504",5.3,1,146,33.8696,-118.3299,0,"Torrance","CA"
"90603",4.1,1,114,33.9457,-117.9918,0,"Whittier","CA"
"90605",5.5,1,116,33.9576,-118.0154,0,"Whittier","CA"
"90638",5.2,1,117,33.9026,-118.0090,0,"La Mirada","CA"
"90670",5.5,1,121,33.9318,-118.0621,0,"Santa Fe Springs","CA"
"90703",3.8,1,123,33.8680,-118.0687,0,"Cerritos","CA"
"90712",4.9,1,130,33.8492,-118.1470,0,"Lakewood","CA"
"90731",4.6,1,146,33.7411,-118.2845,0,"San Pedro","CA"
"90802",3.1,1,139,33.7546,-118.2111,0,"Long Beach","CA"
"90803",5.4,2,132,33.7618,-118.1233,0,"Long Beach","CA"
"90806",5.3,1,136,33.8049,-118.1892,0,"Long Beach","CA"
"90814",4.1,4,133,33.7717,-118.1441,0,"Long Beach","CA"
"91006",3.9,1,114,34.1359,-118.0274,0,"Arcadia","CA"
"91016",3.4,2,110,34.1665,-117.9829,0,"Monrovia","CA"
"91042",4.8,1,133,34.2826,-118.2379,0,"Tujunga","CA"
"91101",4.0,3,124,34.1466,-118.1389,0,"Pasadena","CA"
"91104",3.4,1,122,34.1680,-118.1235,0,"Pasadena","CA"
"91105",5.5,1,126,34.1399,-118.1682,0,"Pasadena","CA"
"91106",3.4,1,123,34.1390,-118.1276,0,"Pasadena","CA"
"91107",3.4,2,119,34.1588,-118.0872,0,"Pasadena","CA"
"91214",2.7,1,133,34.2356,-118.2454,0,"La Crescenta","CA"
"91306",4.3,1,163,34.2101,-118.5759,0,"Winnetka","CA"
