# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10T 037 473 10000)",2.0,1,195,42.7574,-124.5276,0,"UTM:(10T 037 473 10000)",""
"UTM:(10T 037 475 10000)",1.0,1,211,42.9373,-124.5319,0,"UTM:(10T 037 475 10000)",""
"UTM:(10T 038 448 10000)",4.0,2,159,40.5078,-124.3573,0,"UTM:(10T 038 448 10000)",""
"UTM:(10T 038 466 10000)",3.0,4,154,42.1287,-124.3914,0,"UTM:(10T 038 466 10000)",""
"UTM:(10T 038 469 10000)",2.5,8,172,42.3987,-124.3973,0,"UTM:(10T 038 469 10000)",""
"UTM:(10T 038 470 10000)",2.0,4,179,42.4888,-124.3993,0,"UTM:(10T 038 470 10000)",""
"UTM:(10T 038 476 10000)",2.7,1,225,43.0289,-124.4115,0,"UTM:(10T 038 476 10000)",""
"UTM:(10T 039 449 10000)",3.6,46,161,40.5991,-124.2409,0,"UTM:(10T 039 449 10000)",""
"UTM:(10T 039 450 10000)",3.2,35,156,40.6892,-124.2426,0,"UTM:(10T 039 450 10000)",""
"UTM:(10T 039 451 10000)",3.3,14,152,40.7793,-124.2443,0,"UTM:(10T 039 451 10000)",""
"UTM:(10T 039 462 10000)",3.4,42,145,41.7699,-124.2632,0,"UTM:(10T 039 462 10000)",""
"UTM:(10T 039 464 10000)",3.6,4,152,41.9500,-124.2668,0,"UTM:(10T 039 464 10000)",""
"UTM:(10T 039 465 10000)",2.9,41,157,42.0400,-124.2686,0,"UTM:(10T 039 465 10000)",""
"UTM:(10T 039 466 10000)",3.4,4,162,42.1301,-124.2704,0,"UTM:(10T 039 466 10000)",""
"UTM:(10T 040 443 10000)",3.4,1,206,40.0599,-124.1138,0,"UTM:(10T 040 443 10000)",""
"UTM:(10T 040 445 10000)",2.9,2,193,40.2400,-124.1168,0,"UTM:(10T 040 445 10000)",""
"UTM:(10T 040 448 10000)",3.1,26,175,40.5103,-124.1213,0,"UTM:(10T 040 448 10000)",""
"UTM:(10T 040 449 10000)",3.0,86,170,40.6003,-124.1228,0,"UTM:(10T 040 449 10000)",""
"UTM:(10T 040 450 10000)",3.4,9,165,40.6904,-124.1243,0,"UTM:(10T 040 450 10000)",""
"UTM:(10T 040 451 10000)",3.1,347,161,40.7805,-124.1258,0,"UTM:(10T 040 451 10000)",""
"UTM:(10T 040 452 10000)",3.2,166,157,40.8706,-124.1274,0,"UTM:(10T 040 452 10000)",""
"UTM:(10T 040 453 10000)",2.9,121,154,40.9606,-124.1288,0,"UTM:(10T 040 453 10000)",""
"UTM:(10T 040 454 10000)",2.7,24,151,41.0507,-124.1304,0,"UTM:(10T 040 454 10000)",""
"UTM:(10T 040 455 10000)",2.1,3,149,41.1407,-124.1320,0,"UTM:(10T 040 455 10000)",""
"UTM:(10T 040 462 10000)",3.4,81,154,41.7711,-124.1429,0,"UTM:(10T 040 462 10000)",""
"UTM:(10T 040 463 10000)",3.1,24,157,41.8612,-124.1445,0,"UTM:(10T 040 463 10000)",""
"UTM:(10T 040 464 10000)",2.5,2,161,41.9513,-124.1462,0,"UTM:(10T 040 464 10000)",""
"UTM:(10T 040 465 10000)",3.5,4,165,42.0413,-124.1478,0,"UTM:(10T 040 465 10000)",""
"UTM:(10T 040 477 10000)",2.9,1,245,43.1217,-124.1678,0,"UTM:(10T 040 477 10000)",""
"UTM:(10T 040 478 10000)",2.1,3,253,43.2117,-124.1695,0,"UTM:(10T 040 478 10000)",""
"UTM:(10T 040 480 10000)",2.2,1,269,43.3919,-124.1730,0,"UTM:(10T 040 480 10000)",""
"UTM:(10T 040 482 10000)",2.0,1,286,43.5718,-124.1764,0,"UTM:(10T 040 482 10000)",""
"UTM:(10T 041 443 10000)",2.2,1,213,40.0609,-123.9966,0,"UTM:(10T 041 443 10000)",""
"UTM:(10T 041 446 10000)",2.0,1,194,40.3312,-124.0006,0,"UTM:(10T 041 446 10000)",""
"UTM:(10T 041 447 10000)",2.0,2,188,40.4213,-124.0019,0,"UTM:(10T 041 447 10000)",""
"UTM:(10T 041 448 10000)",2.5,2,183,40.5114,-124.0033,0,"UTM:(10T 041 448 10000)",""
"UTM:(10T 041 451 10000)",3.2,8,170,40.7815,-124.0074,0,"UTM:(10T 041 451 10000)",""
"UTM:(10T 041 452 10000)",3.1,51,166,40.8717,-124.0087,0,"UTM:(10T 041 452 10000)",""
"UTM:(10T 041 453 10000)",3.0,12,163,40.9618,-124.0101,0,"UTM:(10T 041 453 10000)",""
"UTM:(10T 041 457 10000)",3.4,1,157,41.3220,-124.0156,0,"UTM:(10T 041 457 10000)",""
"UTM:(10T 041 460 10000)",2.8,4,159,41.5922,-124.0198,0,"UTM:(10T 041 460 10000)",""
"UTM:(10T 041 462 10000)",3.3,5,163,41.7722,-124.0226,0,"UTM:(10T 041 462 10000)",""
"UTM:(10T 041 463 10000)",3.1,1,167,41.8623,-124.0241,0,"UTM:(10T 041 463 10000)",""
"UTM:(10T 041 487 10000)",1.0,1,335,44.0232,-124.0606,0,"UTM:(10T 041 487 10000)",""
"UTM:(10T 041 491 10000)",1.0,1,370,44.3833,-124.0670,0,"UTM:(10T 041 491 10000)",""
"UTM:(10T 041 494 10000)",2.0,1,398,44.6533,-124.0720,0,"UTM:(10T 041 494 10000)",""
"UTM:(10T 042 435 10000)",1.0,1,279,39.3411,-123.8702,0,"UTM:(10T 042 435 10000)",""
"UTM:(10T 042 444 10000)",2.7,4,214,40.1520,-123.8805,0,"UTM:(10T 042 444 10000)",""
"UTM:(10T 042 445 10000)",2.2,1,208,40.2421,-123.8817,0,"UTM:(10T 042 445 10000)",""
"UTM:(10T 042 446 10000)",3.1,1,202,40.3321,-123.8829,0,"UTM:(10T 042 446 10000)",""
"UTM:(10T 042 448 10000)",3.1,1,192,40.5123,-123.8853,0,"UTM:(10T 042 448 10000)",""
"UTM:(10T 042 450 10000)",3.4,1,183,40.6925,-123.8876,0,"UTM:(10T 042 450 10000)",""
"UTM:(10T 042 461 10000)",3.4,1,171,41.6832,-123.9011,0,"UTM:(10T 042 461 10000)",""
"UTM:(10T 042 463 10000)",2.7,1,176,41.8633,-123.9036,0,"UTM:(10T 042 463 10000)",""
"UTM:(10T 042 494 10000)",1.0,2,402,44.6544,-123.9459,0,"UTM:(10T 042 494 10000)",""
"UTM:(10T 042 508 10000)",2.0,2,532,45.9145,-123.9671,0,"UTM:(10T 042 508 10000)",""
"UTM:(10T 042 509 10000)",2.0,1,542,46.0044,-123.9686,0,"UTM:(10T 042 509 10000)",""
"UTM:(10T 043 431 10000)",3.1,1,318,38.9815,-123.7505,0,"UTM:(10T 043 431 10000)",""
"UTM:(10T 043 434 10000)",2.9,5,293,39.2519,-123.7533,0,"UTM:(10T 043 434 10000)",""
"UTM:(10T 043 435 10000)",2.0,6,285,39.3420,-123.7543,0,"UTM:(10T 043 435 10000)",""
"UTM:(10T 043 436 10000)",2.0,14,278,39.4321,-123.7552,0,"UTM:(10T 043 436 10000)",""
"UTM:(10T 043 441 10000)",3.1,1,241,39.8825,-123.7602,0,"UTM:(10T 043 441 10000)",""
