# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0560 4242 1000)",1.0,1,710,38.3286,-122.3079,0,"UTM:(10S 0560 4242 1000)",""
"UTM:(10S 0573 4175 1000)",2.0,1,733,37.7238,-122.1660,0,"UTM:(10S 0573 4175 1000)",""
"UTM:(10S 0583 4138 1000)",1.0,1,747,37.3895,-122.0567,0,"UTM:(10S 0583 4138 1000)",""
"UTM:(10S 0626 4101 1000)",1.0,1,736,37.0512,-121.5773,0,"UTM:(10S 0626 4101 1000)",""
"UTM:(10S 0646 4282 1000)",2.0,1,615,38.6790,-121.3158,0,"UTM:(10S 0646 4282 1000)",""
"UTM:(10S 0649 4298 1000)",2.2,1,604,38.8226,-121.2779,0,"UTM:(10S 0649 4298 1000)",""
"UTM:(10S 0651 4289 1000)",1.0,1,607,38.7412,-121.2568,0,"UTM:(10S 0651 4289 1000)",""
"UTM:(10S 0663 4304 1000)",2.0,1,589,38.8742,-121.1153,0,"UTM:(10S 0663 4304 1000)",""
"UTM:(10S 0670 4342 1000)",1.0,1,566,39.2150,-121.0251,0,"UTM:(10S 0670 4342 1000)",""
"UTM:(10S 0677 4172 1000)",2.2,1,652,37.6825,-120.9871,0,"UTM:(10S 0677 4172 1000)",""
"UTM:(10S 0740 4356 1000)",1.0,1,497,39.3245,-120.2100,0,"UTM:(10S 0740 4356 1000)",""
"UTM:(10S 0761 4094 1000)",3.4,1,646,36.9603,-120.0629,0,"UTM:(10S 0761 4094 1000)",""
"UTM:(10T 0549 4491 1000)",1.0,1,639,40.5728,-122.4151,0,"UTM:(10T 0549 4491 1000)",""
"UTM:(11S 0246 4379 1000)",2.0,1,467,39.5277,-119.9493,0,"UTM:(11S 0246 4379 1000)",""
"UTM:(11S 0250 4079 1000)",2.0,2,641,36.8285,-119.7976,0,"UTM:(11S 0250 4079 1000)",""
"UTM:(11S 0251 4380 1000)",3.8,1,462,39.5383,-119.8916,0,"UTM:(11S 0251 4380 1000)",""
"UTM:(11S 0257 4378 1000)",2.0,1,457,39.5220,-119.8212,0,"UTM:(11S 0257 4378 1000)",""
"UTM:(11S 0258 4372 1000)",2.7,1,459,39.4682,-119.8073,0,"UTM:(11S 0258 4372 1000)",""
"UTM:(11S 0265 4379 1000)",1.0,1,449,39.5331,-119.7285,0,"UTM:(11S 0265 4379 1000)",""
"UTM:(11S 0309 4386 1000)",1.0,1,406,39.6071,-119.2190,0,"UTM:(11S 0309 4386 1000)",""
"UTM:(11S 0333 4375 1000)",2.0,1,390,39.5130,-118.9368,0,"UTM:(11S 0333 4375 1000)",""
"UTM:(11S 0347 4370 1000)",2.0,1,380,39.4706,-118.7729,0,"UTM:(11S 0347 4370 1000)",""
"UTM:(11S 0348 4376 1000)",2.2,1,376,39.5248,-118.7626,0,"UTM:(11S 0348 4376 1000)",""
"UTM:(11S 0378 3775 1000)",3.1,1,837,34.1133,-118.3174,0,"UTM:(11S 0378 3775 1000)",""
"UTM:(11S 0401 3781 1000)",2.0,1,823,34.1698,-118.0687,0,"UTM:(11S 0401 3781 1000)",""
"UTM:(11S 0405 3734 1000)",2.0,1,867,33.7463,-118.0203,0,"UTM:(11S 0405 3734 1000)",""
"UTM:(11S 0412 3889 1000)",1.0,1,718,35.1445,-117.9605,0,"UTM:(11S 0412 3889 1000)",""
"UTM:(11S 0438 3767 1000)",2.2,1,825,34.0464,-117.6663,0,"UTM:(11S 0438 3767 1000)",""
"UTM:(11S 0445 3747 1000)",3.2,2,842,33.8664,-117.5892,0,"UTM:(11S 0445 3747 1000)",""
"UTM:(11S 0480 3767 1000)",1.0,1,814,34.0480,-117.2113,0,"UTM:(11S 0480 3767 1000)",""
"UTM:(11S 0512 3744 1000)",2.0,1,829,33.8407,-116.8649,0,"UTM:(11S 0512 3744 1000)",""
"UTM:(11S 0584 4379 1000)",2.7,1,201,39.5611,-116.0163,0,"UTM:(11S 0584 4379 1000)",""
"UTM:(11S 0656 4017 1000)",4.1,1,540,36.2898,-115.2572,0,"UTM:(11S 0656 4017 1000)",""
"UTM:(11S 0660 4006 1000)",2.0,1,550,36.1900,-115.2150,0,"UTM:(11S 0660 4006 1000)",""
"UTM:(11S 0665 4000 1000)",2.0,1,556,36.1351,-115.1607,0,"UTM:(11S 0665 4000 1000)",""
"UTM:(11S 0673 4349 1000)",3.1,1,207,39.2775,-114.9886,0,"UTM:(11S 0673 4349 1000)",""
"UTM:(11S 0676 3992 1000)",2.0,1,564,36.0611,-115.0403,0,"UTM:(11S 0676 3992 1000)",""
"UTM:(11S 0681 4345 1000)",3.8,1,211,39.2398,-114.8970,0,"UTM:(11S 0681 4345 1000)",""
"UTM:(11S 0682 4346 1000)",2.2,1,210,39.2486,-114.8851,0,"UTM:(11S 0682 4346 1000)",""
"UTM:(11S 0683 4347 1000)",3.3,4,209,39.2574,-114.8732,0,"UTM:(11S 0683 4347 1000)",""
"UTM:(11S 0684 4347 1000)",2.0,2,209,39.2572,-114.8616,0,"UTM:(11S 0684 4347 1000)",""
"UTM:(11S 0685 4345 1000)",2.0,1,211,39.2390,-114.8506,0,"UTM:(11S 0685 4345 1000)",""
"UTM:(11S 0686 4350 1000)",3.1,1,206,39.2838,-114.8376,0,"UTM:(11S 0686 4350 1000)",""
"UTM:(11S 0691 4363 1000)",2.6,2,194,39.3998,-114.7760,0,"UTM:(11S 0691 4363 1000)",""
"UTM:(11S 0691 4364 1000)",3.1,1,193,39.4088,-114.7758,0,"UTM:(11S 0691 4364 1000)",""
"UTM:(11S 0729 4046 1000)",2.0,1,512,36.5364,-114.4364,0,"UTM:(11S 0729 4046 1000)",""
"UTM:(11S 0730 4186 1000)",2.0,1,374,37.7968,-114.3820,0,"UTM:(11S 0730 4186 1000)",""
"UTM:(11T 0376 4449 1000)",3.4,1,320,40.1868,-118.4507,0,"UTM:(11T 0376 4449 1000)",""
