# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0548 4177 1000)",1.0,1,597,37.7435,-122.4495,0,"UTM:(10S 0548 4177 1000)",""
"UTM:(10S 0552 4182 1000)",2.2,1,597,37.7884,-122.4038,0,"UTM:(10S 0552 4182 1000)",""
"UTM:(10S 0559 4154 1000)",1.0,1,573,37.5356,-122.3265,0,"UTM:(10S 0559 4154 1000)",""
"UTM:(10S 0561 4191 1000)",1.0,1,597,37.8689,-122.3007,0,"UTM:(10S 0561 4191 1000)",""
"UTM:(10S 0572 4173 1000)",1.0,1,576,37.7058,-122.1775,0,"UTM:(10S 0572 4173 1000)",""
"UTM:(10S 0583 4100 1000)",2.0,1,519,37.0470,-122.0610,0,"UTM:(10S 0583 4100 1000)",""
"UTM:(10S 0588 4160 1000)",2.2,1,556,37.5874,-121.9976,0,"UTM:(10S 0588 4160 1000)",""
"UTM:(10S 0594 4124 1000)",1.0,1,527,37.2623,-121.9343,0,"UTM:(10S 0594 4124 1000)",""
"UTM:(10S 0599 4167 1000)",2.1,1,553,37.6493,-121.8721,0,"UTM:(10S 0599 4167 1000)",""
"UTM:(10S 0605 4207 1000)",1.0,1,579,38.0091,-121.7982,0,"UTM:(10S 0605 4207 1000)",""
"UTM:(10S 0612 4171 1000)",1.0,1,547,37.6838,-121.7242,0,"UTM:(10S 0612 4171 1000)",""
"UTM:(10S 0613 4075 1000)",1.0,1,480,36.8186,-121.7274,0,"UTM:(10S 0613 4075 1000)",""
"UTM:(10S 0655 4282 1000)",1.0,1,609,38.6775,-121.2124,0,"UTM:(10S 0655 4282 1000)",""
"UTM:(10S 0657 4280 1000)",2.7,2,606,38.6591,-121.1899,0,"UTM:(10S 0657 4280 1000)",""
"UTM:(10S 0676 4167 1000)",2.0,1,503,37.6377,-120.9996,0,"UTM:(10S 0676 4167 1000)",""
"UTM:(10S 0681 4169 1000)",2.0,1,501,37.6547,-120.9425,0,"UTM:(10S 0681 4169 1000)",""
"UTM:(10S 0709 3943 1000)",2.0,2,325,35.6131,-120.6869,0,"UTM:(10S 0709 3943 1000)",""
"UTM:(10S 0709 3947 1000)",2.0,1,327,35.6491,-120.6859,0,"UTM:(10S 0709 3947 1000)",""
"UTM:(10S 0710 3903 1000)",2.0,2,304,35.2525,-120.6863,0,"UTM:(10S 0710 3903 1000)",""
"UTM:(10S 0712 3903 1000)",2.7,1,303,35.2521,-120.6643,0,"UTM:(10S 0712 3903 1000)",""
"UTM:(10S 0712 3908 1000)",2.0,1,305,35.2971,-120.6630,0,"UTM:(10S 0712 3908 1000)",""
"UTM:(10S 0713 3905 1000)",3.1,1,303,35.2699,-120.6528,0,"UTM:(10S 0713 3905 1000)",""
"UTM:(10S 0713 4135 1000)",1.0,1,455,37.3417,-120.5899,0,"UTM:(10S 0713 4135 1000)",""
"UTM:(10S 0716 3888 1000)",2.9,1,293,35.1161,-120.6243,0,"UTM:(10S 0716 3888 1000)",""
"UTM:(10S 0716 3899 1000)",3.1,2,297,35.2152,-120.6214,0,"UTM:(10S 0716 3899 1000)",""
"UTM:(10S 0717 3890 1000)",2.7,1,293,35.1339,-120.6128,0,"UTM:(10S 0717 3890 1000)",""
"UTM:(10S 0718 3893 1000)",2.2,1,293,35.1607,-120.6011,0,"UTM:(10S 0718 3893 1000)",""
"UTM:(10S 0721 3871 1000)",3.2,2,281,34.9618,-120.5740,0,"UTM:(10S 0721 3871 1000)",""
"UTM:(10S 0721 3889 1000)",2.7,1,288,35.1240,-120.5692,0,"UTM:(10S 0721 3889 1000)",""
"UTM:(10S 0724 3893 1000)",2.7,1,287,35.1594,-120.5352,0,"UTM:(10S 0724 3893 1000)",""
"UTM:(10S 0730 3878 1000)",2.2,1,276,35.0229,-120.4736,0,"UTM:(10S 0730 3878 1000)",""
"UTM:(10S 0731 3835 1000)",2.8,3,261,34.6353,-120.4745,0,"UTM:(10S 0731 3835 1000)",""
"UTM:(10S 0731 3836 1000)",2.0,2,261,34.6443,-120.4742,0,"UTM:(10S 0731 3836 1000)",""
"UTM:(10S 0731 3837 1000)",3.1,1,261,34.6533,-120.4740,0,"UTM:(10S 0731 3837 1000)",""
"UTM:(10S 0731 3838 1000)",2.5,1,262,34.6623,-120.4737,0,"UTM:(10S 0731 3838 1000)",""
"UTM:(10S 0732 3832 1000)",3.1,1,259,34.6080,-120.4644,0,"UTM:(10S 0732 3832 1000)",""
"UTM:(10S 0732 3835 1000)",2.2,3,260,34.6351,-120.4636,0,"UTM:(10S 0732 3835 1000)",""
"UTM:(10S 0732 3836 1000)",2.0,1,260,34.6441,-120.4633,0,"UTM:(10S 0732 3836 1000)",""
"UTM:(10S 0732 3837 1000)",2.0,1,260,34.6531,-120.4630,0,"UTM:(10S 0732 3837 1000)",""
"UTM:(10S 0732 3838 1000)",3.1,2,261,34.6621,-120.4628,0,"UTM:(10S 0732 3838 1000)",""
"UTM:(10S 0733 3835 1000)",2.0,1,259,34.6348,-120.4527,0,"UTM:(10S 0733 3835 1000)",""
"UTM:(10S 0733 3836 1000)",2.0,3,259,34.6439,-120.4524,0,"UTM:(10S 0733 3836 1000)",""
"UTM:(10S 0733 3837 1000)",2.1,3,259,34.6529,-120.4522,0,"UTM:(10S 0733 3837 1000)",""
"UTM:(10S 0733 3838 1000)",2.7,1,260,34.6619,-120.4519,0,"UTM:(10S 0733 3838 1000)",""
