# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S -02 519 10000)",3.4,3,13151,0.0000,0.0000,0,"UTM:(11S -02 519 10000)",""
"UTM:(11S -7986 -94419 10000)",3.9,4,13151,0.0000,0.0000,0,"UTM:(11S -7986 -94419 10000)",""
"UTM:(11S 000 425 10000)",4.6,3,621,38.3064,-122.6594,0,"UTM:(11S 000 425 10000)",""
"UTM:(11S 001 419 10000)",3.9,6,568,37.7737,-122.5050,0,"UTM:(11S 001 419 10000)",""
"UTM:(11S 001 423 10000)",2.2,1,599,38.1325,-122.5320,0,"UTM:(11S 001 423 10000)",""
"UTM:(11S 001 489 10000)",3.2,3,1194,44.0476,-123.0538,0,"UTM:(11S 001 489 10000)",""
"UTM:(11S 002 419 10000)",3.5,37,561,37.7789,-122.3920,0,"UTM:(11S 002 419 10000)",""
"UTM:(11S 003 416 10000)",3.9,4,532,37.5148,-122.2599,0,"UTM:(11S 003 416 10000)",""
"UTM:(11S 003 419 10000)",3.9,12,555,37.7840,-122.2790,0,"UTM:(11S 003 419 10000)",""
"UTM:(11S 003 420 10000)",4.0,6,563,37.8738,-122.2853,0,"UTM:(11S 003 420 10000)",""
"UTM:(11S 003 421 10000)",2.0,1,571,37.9635,-122.2918,0,"UTM:(11S 003 421 10000)",""
"UTM:(11S 003 425 10000)",2.2,3,604,38.3225,-122.3178,0,"UTM:(11S 003 425 10000)",""
"UTM:(11S 004 415 10000)",2.0,1,518,37.4299,-122.1410,0,"UTM:(11S 004 415 10000)",""
"UTM:(11S 004 423 10000)",2.0,1,582,38.1481,-122.1911,0,"UTM:(11S 004 423 10000)",""
"UTM:(11S 004 424 10000)",2.0,1,590,38.2379,-122.1975,0,"UTM:(11S 004 424 10000)",""
"UTM:(11S 004 450 10000)",3.2,4,818,40.5707,-122.3742,0,"UTM:(11S 004 450 10000)",""
"UTM:(11S 005 410 10000)",2.8,5,474,36.9858,-121.9986,0,"UTM:(11S 005 410 10000)",""
"UTM:(11S 005 414 10000)",2.6,1,504,37.3451,-122.0224,0,"UTM:(11S 005 414 10000)",""
"UTM:(11S 006 413 10000)",2.0,1,490,37.2600,-121.9041,0,"UTM:(11S 006 413 10000)",""
"UTM:(11S 006 414 10000)",2.7,1,498,37.3498,-121.9099,0,"UTM:(11S 006 414 10000)",""
"UTM:(11S 006 415 10000)",2.0,2,505,37.4395,-121.9158,0,"UTM:(11S 006 415 10000)",""
"UTM:(11S 007 409 10000)",2.2,2,453,36.9052,-121.7690,0,"UTM:(11S 007 409 10000)",""
"UTM:(11S 007 411 10000)",2.0,1,468,37.0849,-121.7803,0,"UTM:(11S 007 411 10000)",""
"UTM:(11S 007 413 10000)",3.4,5,483,37.2646,-121.7917,0,"UTM:(11S 007 413 10000)",""
"UTM:(11S 007 421 10000)",3.8,5,548,37.9831,-121.8382,0,"UTM:(11S 007 421 10000)",""
"UTM:(11S 008 440 10000)",4.1,3,711,39.6940,-121.8391,0,"UTM:(11S 008 440 10000)",""
