# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0513 4314 1000)",2.0,1,1012,38.9794,-122.8442,0,"UTM:(10S 0513 4314 1000)",""
"UTM:(10S 0529 4293 1000)",2.9,1,986,38.7897,-122.6603,0,"UTM:(10S 0529 4293 1000)",""
"UTM:(10S 0546 4160 1000)",2.0,1,883,37.5904,-122.4733,0,"UTM:(10S 0546 4160 1000)",""
"UTM:(10S 0563 4180 1000)",2.0,1,883,37.7696,-122.2790,0,"UTM:(10S 0563 4180 1000)",""
"UTM:(10S 0581 4195 1000)",1.0,1,880,37.9034,-122.0729,0,"UTM:(10S 0581 4195 1000)",""
"UTM:(10S 0593 4140 1000)",3.4,1,834,37.4065,-121.9435,0,"UTM:(10S 0593 4140 1000)",""
"UTM:(10S 0595 4044 1000)",4.1,1,774,36.5412,-121.9331,0,"UTM:(10S 0595 4044 1000)",""
"UTM:(10S 0596 4123 1000)",4.1,1,821,37.2531,-121.9118,0,"UTM:(10S 0596 4123 1000)",""
"UTM:(10S 0607 4201 1000)",2.0,1,865,37.9548,-121.7764,0,"UTM:(10S 0607 4201 1000)",""
"UTM:(10S 0618 4375 1000)",3.1,1,988,39.5209,-121.6214,0,"UTM:(10S 0618 4375 1000)",""
"UTM:(10S 0634 4270 1000)",3.1,1,897,38.5728,-121.4561,0,"UTM:(10S 0634 4270 1000)",""
"UTM:(10S 0643 4077 1000)",2.0,1,755,36.8325,-121.3908,0,"UTM:(10S 0643 4077 1000)",""
"UTM:(10S 0644 4284 1000)",3.8,1,901,38.6974,-121.3383,0,"UTM:(10S 0644 4284 1000)",""
"UTM:(10S 0645 4207 1000)",4.3,1,843,38.0035,-121.3427,0,"UTM:(10S 0645 4207 1000)",""
"UTM:(10S 0695 3909 1000)",1.0,1,616,35.3096,-120.8496,0,"UTM:(10S 0695 3909 1000)",""
"UTM:(10S 0696 3909 1000)",2.0,1,615,35.3094,-120.8386,0,"UTM:(10S 0696 3909 1000)",""
"UTM:(10S 0710 3945 1000)",2.2,1,623,35.6309,-120.6754,0,"UTM:(10S 0710 3945 1000)",""
"UTM:(10S 0711 3907 1000)",2.0,1,601,35.2883,-120.6743,0,"UTM:(10S 0711 3907 1000)",""
"UTM:(10S 0712 3944 1000)",2.1,1,620,35.6215,-120.6536,0,"UTM:(10S 0712 3944 1000)",""
"UTM:(10S 0718 3949 1000)",2.0,1,618,35.6652,-120.5861,0,"UTM:(10S 0718 3949 1000)",""
"UTM:(10S 0719 3889 1000)",1.0,1,585,35.1244,-120.5911,0,"UTM:(10S 0719 3889 1000)",""
"UTM:(10S 0720 3882 1000)",2.0,1,581,35.0612,-120.5821,0,"UTM:(10S 0720 3882 1000)",""
"UTM:(10S 0721 3890 1000)",2.0,1,584,35.1330,-120.5690,0,"UTM:(10S 0721 3890 1000)",""
"UTM:(10S 0723 3879 1000)",2.0,1,577,35.0335,-120.5500,0,"UTM:(10S 0723 3879 1000)",""
"UTM:(10S 0732 3844 1000)",1.0,1,552,34.7161,-120.4611,0,"UTM:(10S 0732 3844 1000)",""
"UTM:(11R 0536 3525 1000)",3.8,1,133,31.8647,-116.6141,0,"UTM:(11R 0536 3525 1000)",""
"UTM:(11S 0234 3813 1000)",2.0,1,491,34.4289,-119.8892,0,"UTM:(11S 0234 3813 1000)",""
