# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State
"UTM:(11S 0268 3994 1000)",3.1,1,191,36.0675,-119.5705,0,0.330,"UTM:(11S 0268 3994 1000)",""
"UTM:(11S 0269 3994 1000)",3.8,1,190,36.0678,-119.5594,0,0.330,"UTM:(11S 0269 3994 1000)",""
"UTM:(11S 0274 3868 1000)",3.1,1,198,34.9339,-119.4690,0,0.330,"UTM:(11S 0274 3868 1000)",""
"UTM:(11S 0275 3892 1000)",2.2,2,188,35.1504,-119.4644,0,0.320,"UTM:(11S 0275 3892 1000)",""
"UTM:(11S 0283 4024 1000)",4.1,1,186,36.3413,-119.4124,0,0.330,"UTM:(11S 0283 4024 1000)",""
"UTM:(11S 0285 4047 1000)",4.1,1,194,36.5489,-119.3965,0,0.330,"UTM:(11S 0285 4047 1000)",""
"UTM:(11S 0286 4010 1000)",3.1,1,178,36.2158,-119.3751,0,0.330,"UTM:(11S 0286 4010 1000)",""
"UTM:(11S 0286 4024 1000)",3.1,1,183,36.3419,-119.3790,0,0.330,"UTM:(11S 0286 4024 1000)",""
"UTM:(11S 0286 4045 1000)",3.1,1,192,36.5311,-119.3847,0,0.330,"UTM:(11S 0286 4045 1000)",""
"UTM:(11S 0286 4046 1000)",3.1,1,193,36.5401,-119.3851,0,0.330,"UTM:(11S 0286 4046 1000)",""
"UTM:(11S 0287 4025 1000)",2.2,1,182,36.3512,-119.3681,0,0.330,"UTM:(11S 0287 4025 1000)",""
"UTM:(11S 0288 4011 1000)",2.2,1,176,36.2253,-119.3532,0,0.330,"UTM:(11S 0288 4011 1000)",""
"UTM:(11S 0288 4025 1000)",2.2,1,181,36.3513,-119.3569,0,0.330,"UTM:(11S 0288 4025 1000)",""
"UTM:(11S 0289 4006 1000)",2.7,1,174,36.1804,-119.3407,0,0.330,"UTM:(11S 0289 4006 1000)",""
"UTM:(11S 0289 4009 1000)",4.0,8,175,36.2075,-119.3415,0,0.269,"UTM:(11S 0289 4009 1000)",""
"UTM:(11S 0289 4010 1000)",2.7,1,175,36.2164,-119.3418,0,0.330,"UTM:(11S 0289 4010 1000)",""
"UTM:(11S 0289 4024 1000)",3.1,1,180,36.3426,-119.3456,0,0.330,"UTM:(11S 0289 4024 1000)",""
