# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State
"UTM:(10S 0431 4365 1000)",2.2,1,662,39.4364,-123.7960,0,0.330,"UTM:(10S 0431 4365 1000)",""
"UTM:(10S 0433 4382 1000)",3.4,1,670,39.5896,-123.7745,0,0.330,"UTM:(10S 0433 4382 1000)",""
"UTM:(10S 0446 4389 1000)",3.8,1,664,39.6536,-123.6236,0,0.330,"UTM:(10S 0446 4389 1000)",""
"UTM:(10S 0447 4296 1000)",1.0,1,611,38.8157,-123.6047,0,0.330,"UTM:(10S 0447 4296 1000)",""
"UTM:(10S 0465 4373 1000)",1.0,1,639,39.5104,-123.4013,0,0.330,"UTM:(10S 0465 4373 1000)",""
"UTM:(10S 0494 4313 1000)",1.0,1,581,38.9704,-123.0635,0,0.330,"UTM:(10S 0494 4313 1000)",""
"UTM:(10S 0498 4295 1000)",1.0,1,567,38.8083,-123.0172,0,0.330,"UTM:(10S 0498 4295 1000)",""
"UTM:(10S 0507 4322 1000)",1.0,1,575,39.0515,-122.9133,0,0.330,"UTM:(10S 0507 4322 1000)",""
"UTM:(10S 0516 4254 1000)",2.0,1,530,38.4386,-122.8109,0,0.330,"UTM:(10S 0516 4254 1000)",""
"UTM:(10S 0521 4253 1000)",2.0,1,526,38.4295,-122.7536,0,0.330,"UTM:(10S 0521 4253 1000)",""
"UTM:(10S 0524 4254 1000)",1.0,1,523,38.4384,-122.7192,0,0.330,"UTM:(10S 0524 4254 1000)",""
"UTM:(10S 0524 4255 1000)",2.2,1,524,38.4475,-122.7192,0,0.330,"UTM:(10S 0524 4255 1000)",""
"UTM:(10S 0525 4243 1000)",2.2,1,517,38.3393,-122.7082,0,0.330,"UTM:(10S 0525 4243 1000)",""
"UTM:(10S 0525 4254 1000)",2.0,6,523,38.4384,-122.7079,0,0.285,"UTM:(10S 0525 4254 1000)",""
"UTM:(10S 0525 4255 1000)",2.0,1,523,38.4474,-122.7078,0,0.330,"UTM:(10S 0525 4255 1000)",""
"UTM:(10S 0526 4254 1000)",1.0,1,522,38.4384,-122.6963,0,0.330,"UTM:(10S 0526 4254 1000)",""
"UTM:(10S 0527 4195 1000)",2.0,1,493,37.9066,-122.6872,0,0.330,"UTM:(10S 0527 4195 1000)",""
"UTM:(10S 0528 4257 1000)",3.1,1,522,38.4654,-122.6733,0,0.330,"UTM:(10S 0528 4257 1000)",""
"UTM:(10S 0530 4232 1000)",1.0,1,507,38.2400,-122.6515,0,0.330,"UTM:(10S 0530 4232 1000)",""
"UTM:(10S 0531 4258 1000)",2.0,1,520,38.4743,-122.6388,0,0.330,"UTM:(10S 0531 4258 1000)",""
"UTM:(10S 0532 4227 1000)",3.1,1,503,38.1949,-122.6288,0,0.330,"UTM:(10S 0532 4227 1000)",""
"UTM:(10S 0532 4233 1000)",1.0,1,506,38.2489,-122.6285,0,0.330,"UTM:(10S 0532 4233 1000)",""
"UTM:(10S 0534 4205 1000)",2.0,1,491,37.9965,-122.6071,0,0.330,"UTM:(10S 0534 4205 1000)",""
"UTM:(10S 0538 4295 1000)",3.8,1,534,38.8074,-122.5566,0,0.330,"UTM:(10S 0538 4295 1000)",""
"UTM:(10S 0539 4195 1000)",1.0,1,482,37.9062,-122.5507,0,0.330,"UTM:(10S 0539 4195 1000)",""
