OBJECTID	TARGET_FID	LON	LAT	MAX_MMI
1	11753	-121.1133345	39.87593172	3.8
2	3433	-118.2387256	34.73502021	8.2
3	2969	-118.2387256	34.43920062	7.5
4	4232	-119.4065355	35.25016306	5.4
5	7914	-122.1014814	37.56338767	8.0
6	7223	-121.6523237	37.13491868	7.8
7	11852	-122.6404705	39.94483687	4.2
8	1112	-118.3280716	33.26727948	4.0
9	4839	-116.9810842	35.61613202	6.9
10	10361	-121.1133345	39.04367366	3.8
11	9759	-123.0896282	38.69396768	7.4
12	15098	-122.8201336	41.84593627	3.5
13	1493	-115.3641167	33.47055056	3.2
14	1241	-117.1607473	33.32055167	5.3
15	9202	-121.023503	38.34254367	4.1
16	11742	-122.1014814	39.87593172	4.2
17	3675	-117.3404104	34.88253456	6.3
18	12881	-123.9879435	40.56186003	7.2
19	14545	-120.3946823	41.51046567	3.0
20	7678	-122.4588965	37.42211727	7.6
21	1263	-115.1844537	33.32055167	3.1
22	3296	-120.1251877	34.66116407	6.0
23	4700	-119.0472094	35.54307135	6.6
24	10341	-122.9099651	39.04367366	8.0
25	10581	-122.1913129	39.18307398	4.5
26	10127	-121.2929976	38.90399773	4.5
27	11967	-122.7303021	40.01367269	4.3
28	11406	-121.023503	39.6688006	4.0
29	2640	-116.5319266	34.21664596	5.4
30	10346	-122.4608075	39.04367366	5.0
31	15129	-120.0396639	41.84589999	1.6
32	1262	-115.2742852	33.32055167	3.2
33	1489	-115.7234428	33.47055056	3.6
34	12997	-123.9879435	40.63007062	7.2
35	8286	-119.9455247	37.77670394	4.0
36	5884	-116.8912527	36.2706708	6.7
37	3224	-116.1726005	34.58724206	5.9
38	8992	-119.0472094	38.20149409	4.0
39	10223	-123.0896282	38.97387013	7.0
40	7008	-120.1251877	36.99155291	4.9
41	4676	-121.170481	35.56348142	3.9
42	6176	-121.9218183	36.48764317	6.0
43	8622	-121.023503	37.98940647	5.4
44	10225	-122.9099651	38.97387013	7.3
45	3459	-115.9031059	34.73502021	6.1
46	4933	-118.9573779	35.68912602	6.0
47	8718	-122.8201336	38.06017072	9.0
48	1453	-118.9844346	33.47232287	3.6
49	13117	-123.6286173	40.69821162	5.3
50	1380	-115.0946221	33.39558348	3.0
51	7250	-119.2268724	37.13491868	5.5
52	10924	-122.6404705	39.39165705	3.2
53	15126	-120.3048508	41.84593627	1.9
54	8527	-119.1370409	37.9185739	4.5
55	4491	-116.9810842	35.39675021	6.9
56	9178	-123.1421613	38.3539162	8.3
