OBJECTID	TARGET_FID	LON	LAT	MAX_MMI	EARTHQUAKE
1	11753	-121.1133345	39.87593172		
2	3433	-118.2387256	34.73502021	4.6	DYFI\ca_2019b
3	2969	-118.2387256	34.43920062	6.3	Historic MMI\pt__1952a
4	4232	-119.4065355	35.25016306	3.8	DYFI\ca_2019b
5	7914	-122.1014814	37.56338767	8	Historic MMI\pt__1906
6	7223	-121.6523237	37.13491868	7.8	Historic MMI\pt__1984a
7	11852	-122.6404705	39.94483687		
8	1112	-118.3280716	33.26727948		
9	4839	-116.9810842	35.61613202		
10	10361	-121.1133345	39.04367366	2.8	DYFI\ca_2001
11	9759	-123.0896282	38.69396768		
12	15098	-122.8201336	41.84593627		
13	1493	-115.3641167	33.47055056		
14	1241	-117.1607473	33.32055167	4.8	DYFI\ca_2019b
15	9202	-121.023503	38.34254367	2.7	DYFI\ca_2000
16	11742	-122.1014814	39.87593172	2	DYFI\ca_2001
17	3675	-117.3404104	34.88253456		
18	12881	-123.9879435	40.56186003		
19	14545	-120.3946823	41.51046567		
20	7678	-122.4588965	37.42211727	4.4	DYFI\ca_2019b
21	1263	-115.1844537	33.32055167		
22	3296	-120.1251877	34.66116407	6	Historic MMI\pt__1952a
23	4700	-119.0472094	35.54307135	4.9	Historic MMI\pt_1946
24	10341	-122.9099651	39.04367366	8	Historic MMI\pt__1906
25	10581	-122.1913129	39.18307398	4.5	Historic MMI\pt__1952a
26	10127	-121.2929976	38.90399773	4.5	Historic MMI\pt__1906
27	11967	-122.7303021	40.01367269		
28	11406	-121.023503	39.6688006	4	Historic MMI\pt__1954b
29	2640	-116.5319266	34.21664596	5.4	DYFI\ca_2009
30	10346	-122.4608075	39.04367366		
31	15129	-120.0396639	41.84589999		
32	1262	-115.2742852	33.32055167		
33	1489	-115.7234428	33.47055056		
34	12997	-123.9879435	40.63007062		
35	8286	-119.9455247	37.77670394		
36	5884	-116.8912527	36.2706708		
37	3224	-116.1726005	34.58724206		
38	8992	-119.0472094	38.20149409	2	Historic MMI\pt__1906
39	10223	-123.0896282	38.97387013	7	Historic MMI\pt__1952a
40	7008	-120.1251877	36.99155291	4.3	DYFI\ca_2019b
41	4676	-121.170481	35.56348142		
42	6176	-121.9218183	36.48764317	3.7	DYFI\ca_2007
43	8622	-121.023503	37.98940647	4.1	DYFI\ca_2007
44	10225	-122.9099651	38.97387013	6.5	Historic MMI\pt__1906
45	3459	-115.9031059	34.73502021		
46	4933	-118.9573779	35.68912602		
47	8718	-122.8201336	38.06017072	9	Historic MMI\pt__1984a
48	1453	-118.9844346	33.47232287		
49	13117	-123.6286173	40.69821162		
50	1380	-115.0946221	33.39558348		
51	7250	-119.2268724	37.13491868	4	Historic MMI\pt__1952a
52	10924	-122.6404705	39.39165705		
53	15126	-120.3048508	41.84593627		
54	8527	-119.1370409	37.9185739	4.5	Historic MMI\pt__1952a
